🌏央视卫视,#genre#
江西卫视,http://117.169.120.140:8080/live/hdjiangxistv/.m3u8
江苏卫视,http://117.169.120.140:8080/live/hdjiangsustv/.m3u8
北京卫视,http://117.169.120.140:8080/live/hdbeijingstv/.m3u8
东方卫视,http://117.169.120.140:8080/live/hddongfangstv/.m3u8
浙江卫视,http://117.169.120.140:8080/live/hdshenzhenstv/.m3u8
广东卫视,http://117.169.120.140:8080/live/hdguangdongstv/.m3u8
湖南卫视,http://117.169.120.140:8080/live/hdhunanstv/.m3u8
湖北卫视,http://117.169.120.140:8080/live/hdhubeistv/.m3u8
宁夏卫视,http://117.169.120.140:8080/live/ningxiastv/.m3u8
吉林卫视,http://117.169.120.140:8080/live/jilinstv/.m3u8
甘肃卫视,http://117.169.120.140:8080/live/gansustv/.m3u8
重庆卫视,http://117.169.120.247:8080/live/chongqingstv/1.m3u8
江西卫视,http://182.151.211.171:808/hls/60/index.m3u8
江苏卫视,http://182.151.211.171:808/hls/42/index.m3u8
北京卫视,http://182.151.211.171:808/hls/45/index.m3u8
东方卫视,http://182.151.211.171:808/hls/44/index.m3u8
浙江卫视,http://182.151.211.171:808/hls/43/index.m3u8
广东卫视,http://182.151.211.171:808/hls/47/index.m3u8
深圳卫视,http://182.151.211.171:808/hls/46/index.m3u8
湖南卫视,http://182.151.211.171:808/hls/41/index.m3u8
湖北卫视,http://182.151.211.171:808/hls/65/index.m3u8
四川卫视,http://182.151.211.171:808/hls/40/index.m3u8
山东卫视,http://182.151.211.171:808/hls/49/index.m3u8
天津卫视,http://182.151.211.171:808/hls/48/index.m3u8
安徽卫视,http://182.151.211.171:808/hls/66/index.m3u8
贵州卫视,http://182.151.211.171:808/hls/64/index.m3u8
浙江卫视,http://183.207.248.15/PLTV/3/224/3221225544/index.m3u8
安徽卫视,http://183.207.248.15/PLTV/3/224/3221225634/index.m3u8
湖北卫视,http://183.207.248.15/PLTV/4/224/3221227377/index.m3u8
辽宁卫视,http://183.207.248.15/PLTV/4/224/3221227380/index.m3u8
天津卫视,http://183.207.248.15/PLTV/4/224/3221227382/index.m3u8
北京卫视,http://183.207.248.15/PLTV/4/224/3221227436/index.m3u8
山东卫视,http://183.207.248.15/PLTV/1/224/3221227517/index.m3u8
安徽卫视,http://39.134.67.108/PLTV/88888888/224/3221225925/1.m3u8
北京卫视,http://39.134.67.108/PLTV/88888888/224/3221225931/1.m3u8
江西卫视,http://39.134.67.108/PLTV/88888888/224/3221225935/1.m3u8
江苏卫视,http://39.134.67.108/PLTV/88888888/224/3221225938/1.m3u8
东方卫视,http://39.134.67.108/PLTV/88888888/224/3221225942/1.m3u8
深圳卫视,http://39.134.67.108/PLTV/88888888/224/3221225943/1.m3u8
东南卫视,http://39.134.67.108/PLTV/88888888/224/3221225950/1.m3u8
山东卫视,http://39.134.67.108/PLTV/88888888/224/3221225952/1.m3u8
浙江卫视,http://39.134.67.108/PLTV/88888888/224/3221225959/1.m3u8
重庆卫视,http://39.134.67.108/PLTV/88888888/224/3221225963/1.m3u8
广东卫视,http://39.134.67.108/PLTV/88888888/224/3221225966/1.m3u8
河北卫视,http://39.134.67.108/PLTV/88888888/224/3221225961/1.m3u8
黑龙江卫视,http://39.134.67.108/PLTV/88888888/224/3221225965/1.m3u8
四川卫视,http://39.134.67.108/PLTV/88888888/224/3221225970/1.m3u8
天津卫视,http://39.134.67.108/PLTV/88888888/224/3221225972/1.m3u8
贵州卫视,http://39.134.67.108/PLTV/88888888/224/3221225974/1.m3u8
湖北卫视,http://39.134.67.108/PLTV/88888888/224/3221225975/1.m3u8
🏀篮球直播,#genre#
11月26日06:00 NBA 森林狼 VS 黄蜂,https://global.zkshuye.cn/live/sd-2-3674732.m3u8
08:00 NBA 76人 VS 魔术,https://global.zkshuye.cn/live/sd-2-3674733.m3u8
08:30 NBA 开拓者 VS 尼克斯,https://global.zkshuye.cn/live/sd-2-3674734.m3u8
09:00 NBA 国王 VS 凯尔特人,https://global.zkshuye.cn/live/sd-2-3674735.m3u8
09:00 NBA 篮网 VS 步行者,https://global.zkshuye.cn/live/sd-2-3674736.m3u8
09:00 NBA 奇才 VS 热火,https://global.zkshuye.cn/live/sd-2-3674737.m3u8
09:00 NBA 老鹰 VS 火箭,https://global.zkshuye.cn/live/sd-2-3674738.m3u8
09:00 NBA 鹈鹕 VS 灰熊,https://global.zkshuye.cn/live/sd-2-3674739.m3u8
09:00 NBA 鹈鹕 VS 灰熊,https://global.zkshuye.cn/live/sd-2-3674740.m3u8
09:00 NBA 公牛 VS 雷霆,https://global.zkshuye.cn/live/sd-2-3674741.m3u8
09:00 NBA 湖人 VS 马刺,https://global.zkshuye.cn/live/sd-2-3674742.m3u8
10:00 NBA 活塞 VS 太阳,https://global.zkshuye.cn/live/sd-2-3674743.m3u8
11:00 NBA 爵士 VS 勇士,https://global.zkshuye.cn/live/sd-2-3674744.m3u8
11:30 NBA 掘金 VS 快船,https://global.zkshuye.cn/live/sd-2-3674745.m3u8
🏀体育频道,#genre#
NBA TV,http://platin4k.eu:80/eagleiptv/SsFAljPDDi/6693
CCTV5,http://113.117.74.37:808/hls/5/index.m3u8
CCTV5+,http://113.117.74.37:808/hls/16/index.m3u8
广东体育,http://113.117.74.37:808/hls/1/index.m3u8
魅力足球,http://113.117.74.37:808/hls/65/index.m3u8
深圳体育健康,http://113.117.74.37:808/hls/70/index.m3u8

CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
咪咕足球,http://39.134.67.108/PLTV/88888888/224/3221225895/1.m3u8
咪咕CBA,http://39.134.67.108/PLTV/88888888/224/3221225897/1.m3u8
咪咕,http://39.134.67.108/PLTV/88888888/224/3221226027/1.m3u8
咪咕,http://39.134.67.108/PLTV/88888888/224/3221226031/1.m3u8
咪咕,http://39.134.67.108/PLTV/88888888/224/3221226046/1.m3u8
咪咕NBA,http://39.137.49.76:8080/PLTV/88888888/224/3221226238/index.m3u8?
咪咕NBA1,http://39.137.49.76:8080/PLTV/88888888/224/3221226235/index.m3u8?
咪咕NBA1,http://39.137.49.76:8080/PLTV/88888888/224/3221226241/index.m3u8?
咪咕CBA,http://39.137.49.76:8080/PLTV/88888888/224/3221226243/index.m3u8?
咪咕足球,http://39.137.49.76:8080/PLTV/88888888/224/3221226240/index.m3u8?
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5+,http://39.135.138.59:18890/PLTV/88888910/224/3221225706/index.m3u8
CCTV16,http://39.135.138.59:18890/PLTV/88888888/224/3221226233/index.m3u8
NewTV超级体育,http://39.135.138.59:18890/PLTV/88888888/224/3221225767/index.m3u8
NewTV超级体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225622/index.m3u8
CCTV5,http://39.134.32.108:6610/270000001111/1110000305/index.m3u8?IASHttpSessionId=OTT
CCTV5+,http://39.134.32.103:6610/270000001111/1110000306/index.m3u8?IASHttpSessionId=OTT
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225622/index.m3u8
CCTV5+,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225649/index.m3u8
CCTV16,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226230/index.m3u8
NEWTV精品体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225709/index.m3u8
NewTV超级体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225767/index.m3u8
五星体育频道,http://119.167.229.31/liveplay-kk.rtxapp.com/live/program/live/ssty/4000000/mnf.m3u8
劲爆体育,http://119.167.229.31/liveplay-kk.rtxapp.com/live/program/live/jbtyhd/4000000/mnf.m3u8
CCTV5,http://39.137.49.76:8080/PLTV/88888888/224/3221225622/index.m3u8?
CCTV5+,http://39.137.49.76:8080/PLTV/88888888/224/3221225649/index.m3u8?
CCTV16,http://39.137.49.76:8080/PLTV/88888888/224/3221226230/index.m3u8?
NewTV超级体育,http://39.137.49.76:8080/PLTV/88888888/224/3221225648/index.m3u8?
NEWTV精品体育,http://39.137.49.76:8080/PLTV/88888888/224/3221225709/index.m3u8?
CCTV5,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225633/index.m3u8
CCTV16,http://ncyd.jilu8.cn/PLTV/88888910/224/3221226233/index.m3u8
CCTV5,http://60.10.167.88:808/hls/5/index.m3u8
CCTV5+,http://60.10.167.88:808/hls/17/index.m3u8
CCTV16,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv16/1.m3u8
NewTV超级体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225622/index.m3u8
NewTV超级体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225648/index.m3u8
NewTV精品体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225709/index.m3u8
CCTV5,http://39.134.116.30:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV16,http://39.134.116.30:8080/PLTV/88888888/224/3221226230/index.m3u8
NewTV超级体育,http://39.134.116.30:8080/PLTV/88888910/224/3221225648/index.m3u8
NewTV精品体育,http://39.134.116.30:8080/PLTV/88888888/224/3221225709/index.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
咪咕足球,http://39.134.67.108/PLTV/88888888/224/3221225895/1.m3u8
咪咕篮球,http://39.134.67.108/PLTV/88888888/224/3221225897/1.m3u8
咪咕体育,http://39.134.67.108/PLTV/88888888/224/3221226027/1.m3u8
咪咕体育1,http://39.134.67.108/PLTV/88888888/224/3221226031/1.m3u8
咪咕体育2,http://39.134.67.108/PLTV/88888888/224/3221226046/1.m3u8
CCTV5+,http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8
五星体育频道,http://183.207.255.200/live/program/live/ssty/4000000/mnf.m3u8
魅力足球,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8
新视觉HD,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
CCTV16,https://epg.pm/stream/d979d4643331cc4484686f7ab58d4fecf9a4d58348a78f88394b49f1aef80572.m3u8
NEWTV精品体育,https://epg.pm/stream/b34a8388908112b2eb6253b39d50173cd62ca4e5569a6a6b11562ed4ada00aff.m3u8
NewTV超级体育,https://epg.pm/stream/865554891c7dd27e68fd479bdef492335db74d15984a18023277e6c1845a14a6.m3u8
魅力足球,https://epg.pm/stream/a32057cef84c4b54e5311d45962f633e1931a4603a49cc11003617636161ce48.m3u8
新视觉体育,https://epg.pm/stream/bcf11d27e2ce62a0b2dca5d8c81e2d6f66c725fe2e5b6eb82c2897074e4b8f7d.m3u8
极速汽车,https://epg.pm/stream/576ae12d0c00ffecd15a77f72c6cafbedc97625037d2bf4bd1512ab064416991.m3u8
广东体育,http://e59abdd420c65d43cc1550d493a88c71.v.smtcdns.net/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel34/2300.m3u8
新视觉体育,https://epg.pm/stream/66656cb6a3d1a271b3be81da3f56c7f2a739a0b525a66039ae85a4ca491db310.m3u8
CCTV5,http://182.151.211.171:808/hls/5/index.m3u8
CCTV5+,http://182.151.211.171:808/hls/19/index.m3u8
CCTV16,http://182.151.211.171:808/hls/18/index.m3u8
CCTV5,http://218.17.216.102:9901/tsfile/live/1014_1.m3u8
CCTV5+,http://218.17.216.102:9901/tsfile/live/1015_1.m3u8
CCTV5+,http://183.207.248.15/PLTV/3/224/3221225604/index.m3u8
籃球3,http://txtest-xp2p.p2p.huya.com/1859752418-1859752418-7987575813966921728-3719628292-10057-A-0-1.xs
籃球5,http://txtest-xp2p.p2p.huya.com/1099531739898-1099531739898-86380906243162112-2199063603252-10057-A-0-1.xs
籃球7,http://txtest-xp2p.p2p.huya.com/1099531739953-1099531739953-86381142466363392-2199063603362-10057-A-0-1.xs
籃球8,http://txtest-xp2p.p2p.huya.com/1099531739788-1099531739788-86380433796759552-2199063603032-10057-A-0-1.xs
足球1,http://txtest-xp2p.p2p.huya.com/1099531739787-1099531739787-86380429501792256-2199063603030-10057-A-0-1.xs
足球2,http://txtest-xp2p.p2p.huya.com/1099531728837-1099531728837-86333399609901056-2199063581130-10057-A-0-1.xs
足球7,http://txtest-xp2p.p2p.huya.com/1199525662714-1199525662714-5281895504391700480-2399051448884-10057-A-0-1.xs
1场,http://txtest-xp2p.p2p.huya.com/0-0-0-2199063580964-10057-A-0-1.xs
2场,http://txtest-xp2p.p2p.huya.com/0-0-0-2199063580966-10057-A-0-1.xs
3场,http://txtest-xp2p.p2p.huya.com/0-0-0-2199063580968-10057-A-0-1.xs
4场,http://txtest-xp2p.p2p.huya.com/0-0-0-2199063580970-10057-A-0-1.xs
斯諾克2,http://txtest-xp2p.p2p.huya.com/1099531739995-1099531739995-86381322854989824-2199063603446-10057-A-0-1.xs
🎞️地方频道,#genre#
江西卫视,https://epg.pm/stream/b29003b8bf7b95276e9f5411da022e3ac24e5e9224b6a2ec8f12773e6bbef3f2.m3u8
江西新闻,https://epg.pm/stream/15c5ff9b45135bfb3acd31b3c047e46240e876410c5a891db6995e8955b55b15.m3u8
江西生活,https://epg.pm/stream/fd52171d302d4436a02c5371e64a0bba373cdc21ca2fa1ca85249afd2697dd5c.m3u8
江西少儿,https://epg.pm/stream/fffe12686490abc04a7d0dccff8abb9678628daae1877085d89e8b498fa33443.m3u8
江西都市,https://2061824984.cloudvdn.com/a.m3u8?domain=jxtv2-live.jxtvcn.com.cn&player=c5AAAA4g2iziF-wW&secondToken=secondToken%3AQgdipkPBamOU7HjaLH9USASynO4&streamid=live-jxtv%3Alive-jxtv%2Ftv_jxtv2&v3=1
江西都市,http://117.169.120.242:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225584/01.m3u8?fmt=ts2hls
江西都市,http://ysten.jx.chinamobile.com:8080/PLTV/88888888/224/3221225584/01.m3u8?fmt=ts2hls
江西生活,http://117.169.120.242:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221226206/01.m3u8?fmt=ts2hls
江西生活,http://117.169.120.242:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225580/01.m3u8?fmt=ts2hls
江西生活,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225580/index.m3u8?fmt=ts2hls
江西影视,http://117.169.120.242:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225579/01.m3u8?fmt=ts2hls
江西影视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225579/index.m3u8?fmt=ts2hls
江西影视,http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225579/index.m3u8?fmt=ts2hls
江西新闻,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225615/index.m3u8?fmt=ts2hls
南昌都市,https://epg.pm/stream/f877cddd1e20ebfa7e055becd87dbf0e37d468557b0455635c66a8ae38d1a10f.m3u8
南昌资讯,https://epg.pm/stream/d874e880ec3ca8e4f74dec7a29b3c8972622601aeeaad60336113893a4cd7204.m3u8
南昌公共,https://epg.pm/stream/9fb51c3463fe8a621d7728c9662b87b1bb979ab2ed80d51e5ac81941beeca5d0.m3u8
上海新闻,https://epg.pm/stream/83739cbc3f7087d7b34662a68ee2a702b23479d2c61edafe56a853b980b29346.m3u8
生活时尚,https://epg.pm/stream/e4b058bf595cc4699e329221f7a897cd699a212fbbcb206107268ec35b5ee3b1.m3u8
欢笑剧场,https://epg.pm/stream/5f79ae3308f3edb5aa5caaeae67a2c3591faafdeaac44dc49aaf5d594dea288d.m3u8
全纪实,https://epg.pm/stream/45e2db9dad0a52305fc187376d36df4e1012778acf7a0082a511b84a0b04b66b.m3u8
东方影视,https://epg.pm/stream/dfe5dfeaa41d22ebcf15af4906e07afb0b1c1d7b4cba4ec5665d762ec54ff2d4.m3u8
上海都市,https://epg.pm/stream/f2dd5bbab66331ee7ad303f973c071950026f16f07744493898c1b12749baecf.m3u8
第一财经,https://epg.pm/stream/68b7bccf8a116907af21a21b7d0e09f47659d722a6e38b8979f648ddc395f4fd.m3u8
欢笑剧场,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
都市剧场,http://183.207.255.188/live/program/live/dsjchd/4000000/mnf.m3u8
上海都市,http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8
游戏风云,http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8
生活时尚,http://183.207.255.188/live/program/live/shsshd/4000000/mnf.m3u8
全纪实,http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8
幸福彩,http://183.207.255.188/live/program/live/xfchd/4000000/mnf.m3u8
动漫秀场,http://183.207.255.188/live/program/live/dmxchd/4000000/mnf.m3u8
上视外语,http://183.207.255.188/live/program/live/wypdhd/4000000/mnf.m3u8
浙江新闻,https://epg.pm/stream/4650348ae03dc200d20a493f10884ffba3887ce691885e4ae21978ff66b98993.m3u8
经济生活,https://epg.pm/stream/099aad57753412b57b9820cc78ca25b460aa20642955bfe159b44e6c700d92f0.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
钱江卫视,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
经济生活,http://hw-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江影视,http://hw-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
影视娱乐,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8
数码时代,http://hw-m-l.cztv.com/channels/lantian/channel12/1080p.m3u8
中国蓝TV,http://hw-m-l.cztv.com/channels/lantian/channel14/1080p.m3u8
浙江国际,https://epg.pm/stream/2f8292e3a2547b4be3d210b308e1e2e06ebb8aa4d98d2a51d16336423527ab21.m3u8
👶少儿频道,#genre#
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
CCTV14,http://39.135.138.59:18890/PLTV/88888888/224/3221225640/index.m3u8
CCTV14,http://182.151.211.171:808/hls/14/index.m3u8
CCTV14,http://218.17.216.102:9901/tsfile/live/1024_1.m3u8
广东少儿,http://218.17.216.102:9901/tsfile/live/1009_1.m3u8
黑莓动画,http://183.207.248.15/PLTV/3/224/3221225555/index.m3u8
黑莓电影,http://183.207.248.15/PLTV/3/224/3221225567/index.m3u8
CCTV14,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225640/index.m3u8
CCTV14,http://39.135.138.58:18890/PLTV/88888888/224/3221225639/index.m3u8
CCTV14,http://60.10.167.88:808/hls/14/index.m3u8
金鹰卡通,http://60.10.167.88:808/hls/50/index.m3u8
CCTV14,http://39.137.49.76:8080/PLTV/88888888/224/3221225639/index.m3u8?
黑莓动画,http://39.137.49.76:8080/PLTV/88888888/224/3221225672/index.m3u8?
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
江西少儿,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226194/index.m3u8?fmt=ts2hls
CCTV14,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225640/index.m3u8
CCTV14,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225639/index.m3u8
黑莓动画,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225672/index.m3u8
CCTV14,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv14/1.m3u8
CCTV14,http://117.169.120.140:8080/live/cctv-14/.m3u8
CCTV14,http://39.134.116.30:8080/PLTV/88888888/224/3221225639/index.m3u8
CCTV14,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
黑莓动画,http://39.134.115.163:8080/PLTV/88888910/224/3221225672/index.m3u8
优漫卡通,http://39.134.115.163:8080/PLTV/88888910/224/3221225665/index.m3u8
卡酷少儿,http://39.134.115.163:8080/PLTV/88888910/224/3221225677/index.m3u8
黑莓动画,http://39.134.116.30:8080/PLTV/88888888/224/3221225672/index.m3u8
黑莓动画,http://39.135.138.58:18890/PLTV/88888888/224/3221225672/1.m3u8
📚NewTV频道,#genre#
超级综艺,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225620/index.m3u8
超级电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225623/index.m3u8
超级电视剧,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225625/index.m3u8
武搏世界,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225656/index.m3u8
中国功夫,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225660/index.m3u8
怡伴健康,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225666/index.m3u8
军旅剧场,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225669/index.m3u8
农业致富,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225670/index.m3u8
黑莓动画,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225672/index.m3u8
古装剧场,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225678/index.m3u8
炫舞未来,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225707/index.m3u8
精品纪录,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225710/index.m3u8
潮妈辣婆,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225708/index.m3u8
热播精选,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225712/index.m3u8
金牌综艺,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225711/index.m3u8
明星大片,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225716/index.m3u8
精品大剧,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225714/index.m3u8
黑莓电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225718/index.m3u8
军事评论,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225757/index.m3u8
东北热剧,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226202/index.m3u8
嗨看暑假,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226210/index.m3u8
超级电影,http://39.137.49.76:8080/PLTV/88888888/224/3221225623/index.m3u8?
超级综艺,http://39.137.49.76:8080/PLTV/88888888/224/3221225620/index.m3u8?
超级电视剧,http://39.137.49.76:8080/PLTV/88888888/224/3221225625/index.m3u8?
武搏世界,http://39.137.49.76:8080/PLTV/88888888/224/3221225656/index.m3u8?
中国功夫,http://39.137.49.76:8080/PLTV/88888888/224/3221225660/index.m3u8?
怡伴健康,http://39.137.49.76:8080/PLTV/88888888/224/3221225666/index.m3u8?
军旅剧场,http://39.137.49.76:8080/PLTV/88888888/224/3221225669/index.m3u8?
农业致富,http://39.137.49.76:8080/PLTV/88888888/224/3221225670/index.m3u8?
古装剧场,http://39.137.49.76:8080/PLTV/88888888/224/3221225678/index.m3u8?
精品纪录,http://39.137.49.76:8080/PLTV/88888888/224/3221225710/index.m3u8?
潮妈辣婆,http://39.137.49.76:8080/PLTV/88888888/224/3221225708/index.m3u8?
家庭剧场,http://39.137.49.76:8080/PLTV/88888888/224/3221225713/index.m3u8?
热播精选,http://39.137.49.76:8080/PLTV/88888888/224/3221225712/index.m3u8?
精品大剧,http://39.137.49.76:8080/PLTV/88888888/224/3221225714/index.m3u8?
明星大片,http://39.137.49.76:8080/PLTV/88888888/224/3221225716/index.m3u8?
黑莓电影,http://39.137.49.76:8080/PLTV/88888888/224/3221225718/index.m3u8?
军事评论,http://39.137.49.76:8080/PLTV/88888888/224/3221225757/index.m3u8?
东北热剧,http://39.137.49.76:8080/PLTV/88888888/224/3221226202/index.m3u8?
欢乐剧场,http://39.137.49.76:8080/PLTV/88888888/224/3221226210/index.m3u8?
📡广播频道,#genre#
中国交通广播,http://ngcdn016.cnr.cn/live/gsgljtgb/index.m3u8
中国之声,http://ngcdn001.cnr.cn/live/zgzs/index.m3u8
香港之声,http://ngcdn008.cnr.cn/live/xgzs/index.m3u8
环球资讯,http://sk.cri.cn/905.m3u8
环球广播,http://sk.cri.cn/hyhq.m3u8
南海之声,http://sk.cri.cn/nhzs.m3u8
Hit FM FM88.7,http://sk.cri.cn/887.m3u8
轻松调频 FM91.5,http://sk.cri.cn/915.m3u8
经典音乐,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
怀集音乐台,http://live.xmcdn.com:80/live/966/64.m3u8
高清音乐台,http://live.xmcdn.com:80/live/1427/64.m3u8
清晨音乐台,http://live.xmcdn.com:80/live/1011/64.m3u8
老歌音乐台,http://live.xmcdn.com:80/live/2628/64.m3u8
亚洲经典音乐台,http://live.xmcdn.com:80/live/1005/64.m3u8
上海动感101,http://ls.qingting.fm/live/274.m3u8
厦门音乐广播,http://ls.qingting.fm/live/1739.m3u8
浙江动听,http://ls.qingting.fm/live/4866.m3u8
四川岷江音乐广播,http://ls.qingting.fm/live/1110.m3u8
北京音乐广播,http://live.xmcdn.com/live/95/64.m3u8
广东音乐广播,http://ls.qingting.fm/live/1260.m3u8
深圳飞扬音乐台,http://ls.qingting.fm/live/1271.m3u8
音乐之声,http://ngcdn003.cnr.cn/live/yyzs/index.m3u8
经典音乐广播,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
动感音乐,http://cnlive.cnr.cn/hls/dongganyyt.m3u8
华语金曲500首,http://ls.qingting.fm/live/3412131.m3u8
80后音怡台,http://lhttp.qingting.fm/live/20207761/64k.mp3
📚｜空中课堂,#genre#
一年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkyinj/1300000/mnf.m3u8
二年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkernj/1300000/mnf.m3u8
三年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kksannj/1300000/mnf.m3u8
四年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kksinj/1300000/mnf.m3u8
五年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkwunj/1300000/mnf.m3u8
六年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkliunj/1300000/mnf.m3u8
七年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkqinj/1300000/mnf.m3u8
八年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkbanj/1300000/mnf.m3u8
九年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkjiunj/1300000/mnf.m3u8
高一,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkgaoyinj/1300000/mnf.m3u8
高二,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkgaoernj/1300000/mnf.m3u8
高三,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkgaosannj/1300000/mnf.m3u8
一年级,http://liveplay-kk.rtxapp.com/live/program/live/kkyinj/1300000/mnf.m3u8
一年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkyinj/1300000/mnf.m3u8
二年级,http://liveplay-kk.rtxapp.com/live/program/live/kkernj/1300000/mnf.m3u8
二年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkernj/1300000/mnf.m3u8
三年级,http://liveplay-kk.rtxapp.com/live/program/live/kksannj/1300000/mnf.m3u8
三年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kksannj/1300000/mnf.m3u8
四年级,http://liveplay-kk.rtxapp.com/live/program/live/kksinj/1300000/mnf.m3u8
